I, [2020-05-16T07:55:25.750215 #1231]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-05-16T07:55:25.750669 #1231] ERROR -- Kitchen: ------Exception-------
E, [2020-05-16T07:55:25.750701 #1231] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-05-16T07:55:25.750721 #1231] ERROR -- Kitchen: Message: Kitchen YAML file /Users/brianrahming/chef-repo/cookbooks/kitchen.yml does not exist.
E, [2020-05-16T07:55:25.750740 #1231] ERROR -- Kitchen: ----------------------
E, [2020-05-16T07:55:25.750766 #1231] ERROR -- Kitchen: ------Backtrace-------
E, [2020-05-16T07:55:25.750785 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-05-16T07:55:25.750813 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-05-16T07:55:25.750830 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-05-16T07:55:25.750846 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-05-16T07:55:25.750863 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-05-16T07:55:25.750889 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-05-16T07:55:25.750908 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-05-16T07:55:25.750926 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-05-16T07:55:25.750951 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-05-16T07:55:25.750977 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-05-16T07:55:25.751002 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:34:in `call'
E, [2020-05-16T07:55:25.751018 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-05-16T07:55:25.751037 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-05-16T07:55:25.751053 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-05-16T07:55:25.751069 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-05-16T07:55:25.751085 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-05-16T07:55:25.751101 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-05-16T07:55:25.751119 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-05-16T07:55:25.751136 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-05-16T07:55:25.751152 #1231] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-05-16T07:55:25.751168 #1231] ERROR -- Kitchen: /usr/local/bin/kitchen:349:in `load'
E, [2020-05-16T07:55:25.751184 #1231] ERROR -- Kitchen: /usr/local/bin/kitchen:349:in `<main>'
E, [2020-05-16T07:55:25.751199 #1231] ERROR -- Kitchen: ----End Backtrace-----
